Card 1,Card 2,Card 3,Card 4,Card 5,Hand Type
8h,7s,6c,Jd,6s,1
2s,2d,5d,Jd,6h,1
Qh,9h,5h,4s,6d,0
Ks,5c,9d,2s,5h,1
8h,Ac,Ks,Ah,4h,1
5c,Qd,5s,8h,8d,2
3d,Qc,4s,2c,4c,1
2h,8h,2c,6c,Qc,1
4s,4h,2d,4c,Kc,3
3d,9c,8c,6s,3s,1
8d,3d,7s,7c,8h,2
Jd,Ac,5s,5d,3s,1
6h,7d,Qh,4h,4s,1
2s,Qs,Ts,Kc,2h,1
Th,9d,Qd,2h,Ad,4
5c,Kh,7c,5d,Kd,2
Td,5c,Th,Ks,8h,1
6c,7h,9h,Ks,5h,0
5h,2h,4s,8h,3c,0
5h,7s,Ad,Kh,9s,4
Qd,As,Td,6s,Kh,0
5c,Jh,5d,Td,8c,1
Qh,4h,6h,2h,9c,0
Js,Ad,Jd,7s,Ac,2
5h,Jc,9c,Kd,6c,0
8s,7s,6h,2h,3h,0
Jh,9c,3h,8c,7h,0
Ks,6h,Jc,5s,Jh,1
Qc,Td,4h,6d,Qd,1
8c,4c,8d,9s,7s,1
Ts,5d,Qh,Th,8c,1
Tc,6s,Qh,9c,7s,0
Qd,2h,3c,2s,Jd,1
3h,4s,5h,8h,9s,0
Qd,9d,Ac,Js,5c,0
2s,Qd,2d,9d,8d,1
6d,4c,7s,2h,Jh,0
4d,Th,2d,3s,Qd,0
Kh,8d,Qs,8s,Ks,2
2c,5c,9d,7s,Kh,0
6h,3d,4s,8c,2c,0
2s,6c,Qd,Ac,Td,0
Td,8s,4c,2c,4h,1
4s,Th,Jd,Jh,Ad,1
9c,5s,8h,2d,3c,0
7h,Tc,Jd,7d,7s,3
7h,6h,Kh,Tc,3h,0
Qc,9c,5s,As,5h,1
5d,As,8c,7s,3d,0
3c,Ad,3s,7s,5s,1
4h,2c,Jc,Ks,Qs,0
Td,5s,5h,7h,8d,1
Qh,2c,8d,Qc,5d,1
2h,Jh,9c,3s,7s,0
As,3h,Js,8s,2c,0
4s,2s,8c,6h,2d,1
5h,Ac,3c,7d,2d,0
7h,6c,9c,3s,Qc,0
Ac,4h,Jc,8c,6s,0
As,Kh,2c,7c,3h,0
Qc,8c,2h,6d,4d,0
Kh,8h,2c,Ac,9d,0
Qd,4s,Ks,Qs,Ah,1
7c,6s,8d,3h,8h,1
Tc,Kd,2d,9d,Ah,4
8c,Kd,Qd,7c,Kh,1
2h,Td,4h,9d,Jd,0
Qh,Kh,5d,Kd,4c,1
Tc,2s,Ah,2c,9h,1
7h,Jc,6h,3c,Ts,0
Js,3d,5d,4c,2c,0
Tc,9c,Jh,5h,Th,1
Ks,Jc,7s,Qc,8c,0
3d,2d,4h,6c,5s,0
5s,Jd,Tc,Kh,Td,1
Qh,2c,Js,Jc,Jh,3
3c,Js,9d,Ts,5h,0
Td,8h,4c,8d,Ac,1
Ah,Js,Ad,2h,6s,1
8s,9h,Th,Jd,9d,1
Qd,5s,6s,4d,Ts,0
9d,2s,Qs,2h,8h,1
8c,Jh,Ah,2d,9s,0
Kh,Ah,7s,3s,6d,0
9c,4d,4c,Ah,Qs,1
Jd,Td,3h,Qh,Th,1
Js,3h,Jd,Jh,3s,6
4h,6d,4s,6c,Tc,2
8d,Kh,3d,Ac,Td,0
2h,6c,3c,Js,5s,0
5s,Qs,6h,Js,9d,4
8h,6d,2c,9d,5h,0
Js,Ac,Qc,6h,9s,0
Js,As,Jh,Ts,Ad,2
4d,Th,Tc,Qd,3s,1
2h,4s,7h,2c,Jd,1
Th,5d,Ks,2s,3c,0
Jd,Qc,8d,7s,8h,1
Td,Ac,8c,Qh,2c,0
Tc,3d,7d,9s,8d,0
Jd,6c,5h,Js,Qd,1
6s,5c,Ts,5h,4c,1
3c,Td,2s,9d,3d,1
Jc,Th,Ac,Qh,6h,0
Kc,8c,2s,Ah,9s,0
Jd,2h,Qs,Js,7c,1
Jd,5d,8c,Th,7c,0
Jc,Td,9s,8d,6d,0
4c,6h,Js,Qc,Jh,1
5h,7h,4h,Kh,7s,1
Qs,9s,Js,Jc,5h,1
6s,8s,Ts,2h,4c,0
Kh,2h,Jd,Th,Tc,1
Ah,Ts,Tc,4c,4h,2
4c,6h,Jh,As,9s,0
Qs,Td,8h,2c,Ah,0
8h,4h,5d,9d,Tc,0
8h,Qd,4h,6c,Kd,0
Ah,Th,Kd,As,7h,1
3h,Jd,Jc,2s,7d,1
5d,6h,Qh,5c,4s,1
5s,Jh,8c,3c,8h,1
8h,Ad,Kh,2h,9h,0
7c,9s,5s,2s,Ts,0
As,6c,4h,Jc,Ad,1
5d,Kc,9s,8d,2s,0
5c,Qd,Jd,7c,4s,0
4h,Qs,7h,Td,5d,0
Tc,4s,Qs,5d,9h,0
Ac,4h,6d,Qc,5d,0
3s,Ts,9h,2s,5c,0
Td,9c,Tc,2c,9s,2
7h,Js,5c,Kh,Ts,0
Qh,Ts,Tc,9s,8h,1
Js,Ts,Ks,5d,2d,0
7s,4d,8c,9d,4h,1
6d,Qd,Js,Ac,5c,0
5h,Jh,Js,Qs,Th,1
5c,Jd,Qh,Tc,6d,0
8c,Jh,2s,Qh,Th,0
Qs,Kd,3h,3c,7s,1
Jh,9c,Ah,Kd,8s,0
2d,6h,Ac,9d,3s,0
Ah,Qh,9h,Ks,5s,0
7d,4h,7c,4c,Jc,2
4c,9d,2h,Js,Ad,0
2c,As,Kc,7c,4s,0
3d,4d,Th,Kd,3h,1
Tc,8s,3d,6d,4s,0
3d,Tc,8c,3c,Ac,1
Th,8s,9h,2s,Td,1
Qs,8c,Ks,Ah,Kh,1
8c,5c,Jd,5s,3h,1
Tc,6d,Td,Qh,8h,1
7c,9h,Kd,Qc,Jc,4
8s,2h,3d,9s,4h,0
8c,7d,Jd,Qc,Tc,0
Kh,Qd,9h,Ks,9s,2
3d,Td,9d,7d,8d,5
Js,Ac,5c,9c,2h,0
Qh,Kc,3s,7h,5s,0
3s,6c,Ks,5s,6h,1
Th,Ah,8d,Qh,3c,0
Jd,Th,3h,6d,9s,0
Ad,Ac,Js,4h,2s,1
8s,6h,6s,9h,2d,1
3c,8h,Tc,9s,2h,0
4c,8s,Th,7d,2h,0
Qd,9d,5c,Kc,7c,0
Jc,Ks,3s,Qd,6s,0
3d,5s,5d,4s,3h,2
3h,2c,Js,5h,7h,4
6d,9d,5d,4c,7h,0
2d,3d,Ah,Jh,4s,0
Kd,6s,3d,9h,7c,0
3s,2s,3c,5c,Th,1
Jh,9d,Jc,Js,Ac,3
5h,4h,8h,2c,3h,0
5d,Th,5s,Td,2h,2
9s,3s,Tc,Qc,5s,0
5d,Jc,Jh,2c,As,1
6s,2s,8d,Qd,9d,0
Jc,4d,Tc,2s,Qh,0
4c,Jc,Ad,7d,9d,0
6h,9h,Js,2d,Th,4
4d,Kc,4c,9d,5c,1
9s,Kc,3c,8h,Ah,0
7d,Jc,5c,Ac,7s,1
4h,6d,6s,9d,Ac,1
2d,6c,Ah,9h,Ad,1
Ah,Qs,5c,7s,3d,0
7h,3h,Kh,7s,5s,1
8h,Jc,2s,8d,Qd,1
5d,9s,8d,6h,4h,0
Jd,9h,8c,8h,As,1
9h,8d,9c,6c,Qd,1
Kh,6s,3h,9c,2s,0
2s,5s,7s,9d,Jd,0
6s,7h,Qd,4d,Ks,0
Ad,3d,5d,Qs,Td,0
2s,8d,6d,Qc,Jd,0
Th,6h,4s,5d,4d,1
6c,6d,8d,Th,6h,3
5c,4s,Kc,Ks,Qd,1
8d,4c,Ks,Th,5s,0
4h,Qh,Kd,7s,Tc,0
Kh,Qh,As,Tc,Qc,1
6s,Js,4h,9h,8s,0
Jc,Ac,6c,2s,8c,0
2d,3h,3s,Qc,Qh,2
Th,3h,5d,Kd,3c,1
Jc,Jd,8d,3s,9c,1
5d,5h,9s,Jd,Qs,1
3c,8h,2h,9d,Ks,0
8d,Qh,3h,2s,6d,0
2c,Qc,Ks,4c,Ts,0
6c,7c,2c,9d,Jh,0
Ah,3d,8c,Kh,Kd,1
Qc,7d,2s,3h,Qd,1
3s,2c,4d,5s,Ts,0
5c,Kd,Js,Td,Qh,0
Ac,Js,7c,7d,Qd,1
8c,7h,9s,4d,As,0
Qc,4h,8c,4s,8h,2
Kh,5c,5s,Ks,Qc,2
4s,4d,6d,5s,7d,1
Ks,8h,4s,2d,Qs,0
7c,Ah,Kd,5s,Qh,0
Kc,Js,6s,Jd,2s,1
9c,Qs,Ad,5c,3c,0
6c,7h,Ts,7c,Kc,1
5s,Qc,7s,Jc,3h,0
Qs,2s,Tc,3d,Jd,0
Jd,Ac,4c,Ts,4d,1
2h,Ac,6h,Qd,Kh,0
4c,7h,Ks,5s,9d,0
9d,2c,9c,6d,3h,1
Ah,7c,4d,Jh,2s,0
Ah,7c,3s,Qh,8d,0
9d,4s,5d,Jc,7h,0
5d,4s,9d,4d,2h,1
7d,Kd,3c,6s,Qs,0
Ac,As,8h,8d,Kd,2
6s,9c,7s,4d,Ks,0
7s,4c,Tc,Kd,Kh,1
Th,8c,3s,3c,6c,1
Tc,Kc,7s,3d,6d,0
6h,Th,8s,9d,Td,1
3c,7d,6h,Jh,4c,0
Js,5h,9c,3d,6s,0
6h,4h,5h,8c,5d,1
4h,2c,8s,5h,7c,0
6h,Ac,3c,7d,Qs,0
Qh,9s,9d,Tc,Qd,2
8c,Th,Tc,5h,9s,1
Qh,7h,Jc,Qd,8c,1
6s,Qh,Qs,6d,Kc,2
Jc,Js,Jd,4s,5h,3
Kh,5d,Td,9s,4d,0
9c,7c,Ah,Js,6d,0
9s,Tc,5s,7d,Jc,0
Td,8s,4h,Qs,Js,0
6s,9s,As,Ac,4c,1
Kd,Ks,Ah,Th,9d,1
2c,Qd,4h,9h,Jc,0
Jc,7h,Jd,8h,2h,1
6d,6c,2s,7d,4h,1
9s,Tc,Kd,6h,6s,1
2c,5d,9h,8s,Ks,0
As,8d,2s,8h,Ks,1
9d,6d,Jc,8s,Kc,4
3c,3s,Js,4c,Th,1
6c,Qd,5c,2h,As,0
9s,8c,7d,2d,Jd,0
9h,5s,2d,8d,8s,1
9d,5c,4h,3h,4d,1
Ah,8s,2s,Ac,2c,2
Kh,6s,3h,Qs,4c,0
2h,4s,3h,3s,9c,1
Qd,5d,Ad,Js,Tc,0
7d,Qh,5d,9h,Td,0
Kh,Jh,7s,Td,9s,0
Ah,Tc,Th,6h,4s,1
Jh,6c,7d,8s,Qs,0
9s,6c,7d,9h,Ac,1
Jd,Qc,9d,Tc,Jh,1
6h,Kd,Td,4h,8d,0
8c,Js,Ks,6d,8h,1
Ks,Th,4h,2h,Kc,1
9c,Ah,4d,5h,8c,0
7h,Ah,5c,5s,6c,1
5d,Js,7d,3d,Ac,0
4c,Ah,Tc,9c,Kc,0
7h,9h,5d,3d,7c,1
Qd,9h,Td,Ts,2s,1
4s,Qd,8c,Ks,Ad,0
9d,5h,6s,Qs,3s,0
2h,Kd,Ah,8d,8h,1
5d,4d,Kh,5h,Tc,1
Qh,Th,Ad,2h,4s,0
2d,Tc,6s,Qc,4h,0
Qs,Ts,5d,Th,4c,1
Ac,Qd,Td,8s,5h,0
7s,8c,5d,Ad,2h,0
3c,Kc,3d,Jc,Kd,2
6s,7c,Ad,3c,7h,1
5h,7c,Ac,Jd,7d,1
9c,Ks,7h,Kc,5s,1
Kd,Jd,Ts,7h,8c,0
Kc,Ac,2h,As,8h,1
Qs,6c,7d,6h,4c,1
Qh,Jc,5d,2h,6h,0
Ah,3c,Jc,Kc,2c,0
7s,4s,Jh,Td,Ad,0
9d,Qd,8c,8s,9h,2
6h,2d,Th,Ks,7d,0
8h,2h,8d,6d,As,1
5h,Qd,7c,7d,2s,1
Tc,9h,7h,5s,4s,0
Ts,Jc,8s,Jd,Tc,2
Qs,8d,4d,Th,As,0
2d,6c,Js,Ts,8s,0
5d,Qd,8c,Ac,Kc,0
3h,Ks,7c,7h,Td,1
9s,Kd,2c,7c,3s,0
3d,8h,6s,3h,6d,2
6c,8h,Kd,5c,4d,0
8h,5d,8c,Td,Qs,1
2c,Ah,Jh,Ac,6d,1
Jd,Jc,9d,5h,Ah,1
Th,4s,6h,Qs,3h,0
6h,3h,2c,7d,3c,1
9c,6h,7s,5d,Js,0
Ah,9h,Js,4h,Jh,1
5s,8h,Qs,2h,Ad,0
Jc,Qd,4c,5d,2d,0
Ah,2h,5h,Qd,Qh,1
6c,Kc,4d,9s,9c,1
7h,3s,Qc,9c,3c,1
3s,7h,7s,3d,Tc,2
9c,3d,9s,8h,8s,2
Jc,Kc,Ks,5c,Jd,2
7h,4s,3s,9s,5c,0
Qs,Td,3s,2c,4s,0
7s,4d,7d,5h,7c,3
7h,Kc,5h,9c,Qs,0
Qs,8s,Ts,2h,Js,0
5s,Kd,3s,Qs,6s,0
Js,Qd,4s,Kd,4d,1
9d,3h,8s,Th,Jh,0
5h,Qh,9s,Jd,7c,0
7s,Jd,Kc,Qd,4d,0
Kh,Ad,Qc,Kd,Ks,3
Ah,8h,7h,Ad,As,3
Kh,9c,Ah,7c,3c,0
Ah,Jd,9c,3h,8s,0
Qd,2s,6h,Qc,8c,1
Kh,Ks,Td,Jh,2d,1
Qh,Kh,7d,3h,Kc,1
3h,4s,Jd,5h,Qh,0
Jc,9c,2s,7s,8d,0
Qs,2c,3h,As,5h,0
4s,9h,8s,3s,8h,1
8d,Kc,5h,2d,7c,0
Ts,4h,Js,3d,9c,0
Ac,Jc,Jd,8d,5c,1
Kc,6d,4s,3s,Td,0
4c,Ad,Jd,Jc,Tc,1
Kd,2s,Td,8c,Ac,0
7s,7c,8d,Ah,9s,1
5c,6d,9h,9c,Tc,1
Ad,2h,9s,Kc,Ts,0
7s,9s,Tc,Th,4c,1
Td,8s,2c,Tc,8h,2
Qh,9c,7s,4d,6h,0
Kd,6d,Ks,Ad,Kh,3
7s,As,Kh,4h,8c,0
Kd,Ac,3s,Jh,6c,0
2h,3h,9c,8h,5d,0
5c,Kd,9h,Tc,8s,0
Kd,2d,3d,2c,Qd,1
Td,Ad,Tc,Ts,5d,3
8d,Ah,4s,2d,Ad,1
9h,Qd,7c,9d,Jd,1
Qc,2s,5c,4h,Kc,0
4d,Qc,Qs,Kc,9s,1
6d,7c,6s,Tc,2s,1
9s,4s,6s,3h,7h,0
7d,Qd,8s,Qc,As,1
5c,9d,Kd,Qh,9h,1
Qd,9s,9d,Kh,As,1
3d,Td,Th,7s,2c,1
Js,6d,4s,Kc,5s,0
4s,Ts,8c,7d,Qc,0
7c,4h,Td,5s,9c,0
9d,Kc,6s,5c,Ks,1
9s,7c,6d,Qs,2s,0
Qs,Th,Ac,2h,As,1
Tc,Td,3s,2d,3h,2
Ad,3d,Qd,4c,Jd,0
8h,8d,Qd,4h,4s,2
6h,4c,6d,Ac,Ts,1
4s,Td,Kc,2d,Qh,0
5d,7c,4s,6d,5s,1
6d,Jd,7d,5d,Ad,4
6h,Ks,8d,Tc,7h,0
4c,Kd,7c,Ac,6d,0
5d,9s,8d,Jd,2c,0
Qs,2h,Ts,Js,8d,0
Jc,9s,As,7s,8s,0
8h,2h,7s,9s,As,0
Qc,7c,Ah,Ks,3d,0
Kh,Kc,8d,Qh,Tc,1
6s,Js,Kd,Kc,4h,1
4c,3c,5c,2d,As,0
Kc,Jd,3c,4s,3d,1
8h,Jc,Ah,Ks,8s,1
3d,Qd,8c,6h,Ad,0
3d,8c,9c,Jh,2c,0
2d,Ah,6h,Ad,3h,1
4c,9s,9d,Qs,Jc,1
9c,2d,Qd,8h,5d,0
Td,2h,Js,Ks,Ad,4
8h,Ad,2h,8d,6c,1
4c,5s,Ac,3c,9c,0
Qh,5h,9s,6d,As,0
2c,4h,8c,9h,6s,4
5s,3c,6h,8h,5c,1
Ts,Jh,4c,9h,6c,0
8c,5h,Td,9h,Kc,0
2c,8d,Qh,Jh,7s,0
Ah,9h,7s,3h,8s,0
Jh,3s,Ah,8s,6c,0
4s,6d,7d,6h,As,1
9s,9d,Qd,Jc,Jh,2
2s,3h,Ts,8d,Tc,1
Ks,3c,9c,Kc,5c,1
Ts,6s,Jd,9d,Qc,0
Ks,7c,4s,2d,9d,0
9c,3s,9h,Qh,7s,1
3h,7s,7c,8h,Jc,1
Ad,6d,Th,Qh,3h,0
6c,Ks,Qc,Kd,7s,1
9s,Ks,4h,2s,Ad,0
2d,Kd,Qd,Tc,Jh,0
5s,7s,4s,2d,Th,0
Td,Jc,2h,3h,Th,1
8s,6s,6c,3s,8h,2
Qh,Ah,4c,5c,6s,0
8c,4c,7h,5h,4d,1
Qc,2c,9c,Jh,Ks,0
3d,5h,4d,Ks,8c,0
4h,Th,Ah,7s,7d,1
3s,Ts,9d,2s,5s,0
2d,Ts,Kd,5c,2s,1
Kd,8h,Kc,Td,Qd,1
5c,8d,Ts,Kh,Jh,0
8c,Qd,Kc,7h,Kh,1
2h,7h,9d,Qc,6d,4
Ts,2c,Kh,6s,Js,0
3h,8h,4c,6d,5s,0
6c,7d,5c,Jh,2c,0
Ad,Td,6s,As,9c,1
8c,Jd,3h,Js,9d,1
4h,2h,7d,Ah,8c,4
7c,Tc,2h,Qh,Th,1
6c,As,5c,9h,4d,0
9d,8s,5s,8d,Kc,1
6s,7d,2s,9c,3d,0
Ad,4d,8c,2s,6c,0
6s,Tc,Qd,5h,4c,0
6s,9h,As,Kh,9s,1
6s,Qd,5c,4d,Jh,0
2h,8d,4d,3s,2s,1
6h,Qc,Ts,7s,5s,0
Jc,4d,Jh,Ah,2c,1
8s,3h,3d,Jh,9d,1
Ks,5d,7h,6c,3h,0
Tc,Qh,4d,5h,6c,0
9d,6s,8c,Ac,7h,0
5c,8c,Qd,2d,Ts,0
2h,5h,7c,Ts,8d,0
6s,9h,2d,Js,8s,0
5h,8c,6d,Jh,3d,0
2s,Qs,6d,Kh,8h,0
Ts,Th,9c,4h,7h,1
2d,5d,Tc,8h,Jh,0
2d,8s,Ks,8d,5d,1
2d,6d,3s,8c,4c,0
8s,Tc,Qs,8c,9c,1
7c,9d,Jh,Kh,7h,1
Qc,8h,Jh,Ts,Td,1
4d,8c,9c,7h,Td,0
6c,Jd,Qc,4s,4d,1
7d,Kh,As,5d,Qs,0
2c,Td,9h,9d,9s,3
Ks,8h,7h,3h,5s,0
Jc,5h,9d,Qc,9s,1
4c,Ks,As,3c,Qc,0
9d,6s,Jd,6h,3s,1
Ah,5d,5c,Kd,Th,1
Qd,7s,2d,Ah,4d,0
Qh,2s,9s,8d,3d,0
Ts,6h,6s,Jc,5s,1
6c,Kd,Jd,3s,9d,0
Kc,7h,Qd,2c,5h,0
7s,7c,Tc,5d,Jd,1
Td,Kc,4d,3d,9h,0
8d,Th,5d,Ac,9s,0
Js,6c,Jh,3d,4h,1
4c,Kd,7d,Ac,Ks,1
Kc,Th,8d,9s,2d,0
5c,2d,6s,3c,3h,1
8s,5d,2c,5h,Ad,1
6s,5c,Kd,Kc,7s,1
2c,5d,3c,2h,7d,1
9h,4d,7d,4h,8s,1
Ah,7s,2h,4h,2d,1
3s,Tc,Jd,5d,Qd,0
4s,4d,2s,Jd,Kh,1
4d,Jc,2s,9h,5h,0
4h,Ac,6h,7c,Jd,0
4d,Qd,Kc,4s,Tc,1
6h,Kh,5c,Td,9h,0
5d,4d,6h,8c,5h,1
8s,Jh,2h,Tc,Js,1
3c,9s,7h,6h,5c,0
9h,5s,2h,6h,Jd,0
8h,8s,Tc,Kc,6d,1
6s,Td,3c,9h,3d,1
Ac,3d,8c,8d,Qs,1
9c,Jd,7d,2h,2c,1
Td,4h,5c,Kc,Ts,1
8h,3s,2c,Qc,Ts,0
6d,Kd,Kc,5h,8h,1
Ad,9h,7s,9d,5c,1
7s,3d,5s,8c,2d,0
Ts,Kh,Kd,5s,3s,1
4c,Th,Qh,Kd,Ts,1
As,Ks,9s,9h,8s,1
4s,3c,6d,5d,6h,1
8s,Td,Ad,Js,6h,0
6h,4h,Ah,4c,3s,1
7h,Jd,2d,3d,Kc,0
Ts,9c,8h,7d,Tc,1
Ks,Jh,Ts,6d,5s,0
Qs,5s,9h,4h,8c,0
4h,4d,8h,7h,Jc,1
4c,2h,Kd,3h,Qh,0
Js,3s,5c,Jc,Ts,1
Kc,6d,5h,8s,As,0
5c,7c,3s,6d,6s,1
Jc,Kc,Kh,3c,4h,1
6c,3c,8c,Js,3h,1
Js,9d,6h,3c,Ts,0
9d,Kc,3h,6h,5d,0
Ks,4d,Ts,Ac,8d,0
Kh,3c,Ks,9h,Td,1
Th,7h,Js,Jc,8d,1
4h,3s,8d,9s,Kh,0
Ts,As,3s,Th,8h,1
8h,Qs,5s,Ad,2d,0
Td,6s,9d,2s,4h,0
3h,Jh,3c,6s,Jc,2
6d,Qc,4h,2h,Ac,0
3h,Ah,4h,9h,Td,0
Qh,Jh,Kd,6h,Qc,1
3d,2d,Qc,6c,5h,0
Ks,Jh,Jc,4d,As,1
9h,Jd,Td,Kd,7s,0
6h,Ts,9h,Th,Tc,3
2s,3h,Ad,Qs,Th,0
2s,As,Kc,9s,8c,0
4s,Kc,2c,7c,Qd,0
6d,Ks,Ts,8h,Qd,0
8h,Ah,Qh,5c,8d,1
9s,4c,Ah,6h,5c,0
Jh,Qs,Ac,7d,6h,0
Kh,Qc,8h,7d,Ad,0
Jh,Ac,3c,Qh,2h,0
5h,Jc,Ah,6s,Qh,0
4h,Kd,9d,9h,8d,1
2c,5c,Ad,Ts,Qs,0
9c,Td,4d,3h,7c,0
9d,Qd,2s,Tc,5d,0
9s,4c,Td,6c,6h,1
Tc,9s,8c,7h,Qh,0
2d,Qc,As,Jh,5h,0
8s,2s,Ah,6s,Kd,0
Jh,5c,Qc,3d,9s,0
9s,9c,4s,Jc,6c,1
Ac,Td,Ts,Ad,Kh,2
Jd,8s,Qc,Jh,4d,1
9c,4h,Kc,4s,7h,1
Kh,Th,Kd,9c,8d,1
2d,Ad,Ks,Kd,Qc,1
Ah,9c,6h,Qd,6s,1
8s,3d,5c,6s,Jc,0
4h,2s,7c,Td,5s,0
Ah,Ad,Qd,7s,6d,1
5s,4s,7s,As,9d,4
6c,9s,Qs,Js,3c,0
9s,Jh,7h,9h,8c,1
Jh,3c,8d,7c,Qc,0
8s,2h,8h,6h,3s,1
6c,Jc,7s,Ks,Ah,0
Ah,8h,5d,Qh,Ts,0
4s,Ah,3d,4h,Js,1
Kh,Th,Qc,3d,7s,0
9d,Tc,Jd,Qs,As,0
6c,9d,9h,5h,8d,1
Ah,As,2d,6s,8s,1
4c,Qc,5h,9c,Th,0
3h,5d,5h,9c,Jc,1
9s,4d,Kc,2d,Th,0
Td,Th,Qs,Jh,Ad,1
6s,Ks,3s,5h,Qc,0
8h,Qh,6d,2s,Kh,0
5c,7c,3d,8c,6s,0
Td,3c,3d,4d,6c,1
Td,8s,Tc,9h,4c,1
Ad,Kh,8s,Jh,5c,0
4h,Ad,9d,Ks,6c,0
5c,6c,7h,8c,3h,0
Jh,5h,Qh,Ts,4c,0
Kd,8c,2d,6s,Tc,0
6d,3c,Qc,As,6s,1
8d,5s,Kd,3d,2d,0
Qd,9d,7s,9h,4s,1
Ks,3d,8c,Tc,Qd,0
Jd,2d,5h,Kh,Tc,0
7s,5d,Qc,5c,8c,1
Ac,9c,7s,6d,6h,1
5h,2c,Kc,Ts,Jc,0
3d,4h,Ac,3s,5d,1
3d,Ah,7h,3h,Jh,1
5h,5d,3h,3s,5s,6
9d,6h,Ad,6s,4s,1
9h,8d,4d,Ks,5d,0
7h,7c,5s,Jd,5h,2
4h,9d,5c,Qh,8h,4
6s,3h,Jh,7h,Td,4
Jd,6s,Tc,Ad,Th,1
9d,8s,3c,5d,Ad,4
Jh,9s,8d,Kc,6h,0
8d,As,Qh,4h,5d,0
As,7s,7c,4h,2h,1
7s,Qh,Ah,2s,Jd,4
5s,4d,Th,Qc,9h,4
2s,Qd,6d,9s,5s,0
5c,Js,Th,7c,5h,1
2c,4s,6d,Th,Ks,0
8s,Jd,8h,4c,Ah,1
5s,Td,8c,Jd,Ad,0
4d,3d,9s,Th,Jd,0
7s,6c,8c,6h,Ts,1
4c,6h,3d,8d,Kh,0
As,Ts,4h,Ks,Th,1
5h,Ad,4s,2s,2d,1
Qd,2c,4d,6d,4c,1
8d,Kd,Ts,Tc,Th,3
7c,Qh,2h,Jh,7d,1
9c,7c,9d,2s,Js,1
Tc,8s,Ts,9h,7s,1
6h,5h,Ts,Td,8d,1
Qc,5s,Th,Ks,6c,0
Qc,6d,4c,Qd,6s,2
Qs,7h,Td,Ts,9s,1
Ad,Qh,2c,4d,Th,0
2h,Ad,4s,3d,Jh,0
Jd,8s,3d,2d,Qh,0
9h,8c,Jc,Jh,6s,1
Js,Jd,4h,Jc,Qs,3
5d,2s,5c,2c,Qc,2
9c,3d,Td,5s,Qh,0
8d,8h,3d,9s,Jd,1
Ah,7d,5h,6s,8h,0
2h,5h,Qd,6d,9d,0
5d,2d,6h,Kc,Ac,0
Ac,8d,9d,6h,2s,0
Kc,9s,7c,3d,Js,0
5s,7h,2h,8h,5c,1
5d,Jh,Ad,Th,Kc,0
6c,3c,4c,Jh,5c,0
7s,3s,Th,5c,5d,1
Jd,Th,5d,8c,2d,0
Ad,3d,4c,Kd,2c,0
Jd,Js,9s,Ts,4c,1
7h,2c,9s,9c,Qh,1
Qd,Qs,Td,Kd,5h,1
Qc,As,Kd,2d,7h,0
Ac,3c,Qd,8s,7d,0
9h,8h,Qs,Kc,Jh,0
4d,4s,7c,2h,7h,2
8h,Js,Kh,Ad,2c,0
Ts,Qc,8h,7s,Ad,4
Kd,Qs,Td,Ad,3s,0
Th,Qs,Kd,5h,3d,0
Qs,Kd,6h,7c,2d,0
Jd,4c,6s,Js,2h,1
7c,Qs,7s,Ad,2h,1
6s,Tc,Kd,Ac,4h,0
7d,9h,Qs,3s,Ac,0
9d,Kd,7d,6c,Ts,0
6h,5h,Jh,Qs,Ts,4
3h,8s,2d,Ac,2s,1
Ks,9s,6h,Jh,2s,0
4c,5d,6c,Qh,4h,1
3d,7s,6h,2h,2s,1
Td,7h,9h,4c,Ts,1
Qh,As,4s,Ad,9h,1
5h,3c,5s,Kc,4h,1
4c,2s,As,Tc,Ts,1
7d,5c,Ac,Js,2h,0
Ah,Ad,4d,As,Qh,3
7d,Ts,Js,Td,9d,1
Jd,3d,8s,As,5s,0
Tc,Qh,Qs,4d,6c,1
7c,Ac,3h,5c,2s,0
3h,5d,3c,Ad,6d,1
4h,8d,Qc,5s,Kc,0
3s,5c,3h,4h,6c,1
Qs,Qc,Jh,Th,5c,1
5s,Kd,3s,Kh,2d,1
Kh,Kd,3c,7d,4s,1
Kh,Ad,5d,9s,8h,0
9s,7d,Kh,4h,Ac,0
2c,Td,Jd,2h,3h,1
Qd,5s,Jh,9d,5h,1
Kd,2d,9d,8s,7c,0
Qd,3h,4d,4h,9h,1
3s,Kd,2s,Qs,5h,0
2s,2h,5d,Js,Th,1
7c,Jd,Kc,4s,3h,0
Ks,5d,2d,Ts,Jc,0
5s,Ad,3c,Qh,4s,0
4c,Ks,8c,6d,9d,0
9c,Jc,8d,Ks,4d,0
4c,8c,9s,Js,Ah,0
Qh,7d,Kh,3d,Js,0
3c,Td,As,4c,Js,0
5d,6h,3h,Ad,4d,0
5d,4c,4s,3d,6c,1
3s,Td,7d,Qh,4s,0
5d,4d,3c,Ac,9h,4
5c,4h,9s,Ac,Qh,0
9c,As,2c,8c,2h,1
Jh,6h,Kc,Ac,7h,0
4c,5s,7d,5h,Jh,1
4h,Tc,Kc,As,5h,0
7s,3s,5c,3d,Tc,1
7c,9c,2s,4h,6d,0
3d,Ts,Jh,9s,Ah,0
2h,Kc,3d,5d,2s,1
5h,8d,Kd,Ac,4h,0
4d,As,Ac,2h,2c,2
